peer,KPI,sort,average,Product,Value,Rank,group,Hierarchy1,last,Code
All products,Project Length,4,5.823507513,Phocas,9.597390494,2,2,,,
All products,Project Length,4,5.823507513,Pyramid,4.170914543,18,2,,,
All products,Project Length,4,5.823507513,Qlik Sense,6.596667958,10,2,,,
All products,Project Length,4,5.823507513,QlikView,4.035133377,19,2,,,
All products,Project Length,4,5.823507513,Report One,6.975029727,9,2,,,
All products,Project Length,4,5.823507513,SAP Analytics Cloud,3.931034483,20,2,,,
All products,Project Length,4,5.823507513,SAP BO BI,5.197286603,12,2,,,
All products,Project Length,4,5.823507513,Serviceware Perf.,5.157088123,13,2,,,
All products,Project Length,4,5.823507513,Tableau,4.850574713,15,2,,,
All products,Project Length,4,5.823507513,TARGIT,9.448275862,3,2,,,
All products,Project Length,4,5.823507513,Zoho Analytics,9.258026159,4,2,,,
All products,Customer Satisfaction,5,5.987138305,Bissantz,6.855424238,11,1,,,
All products,Customer Satisfaction,5,5.987138305,Domo,6.090497144,12,1,,,
All products,Customer Satisfaction,5,5.987138305,Dundas,7.601822948,6,1,,,
All products,Customer Satisfaction,5,5.987138305,Entrinsik,9.330029979,2,1,,,
All products,Customer Satisfaction,5,5.987138305,IBM Cog. Analytics,1.792727118,24,1,,,
All products,Customer Satisfaction,5,5.987138305,IBM Plan. Analytics,6.881648633,10,1,,,
All products,Customer Satisfaction,5,5.987138305,InfoZoom,8.65852808,3,1,,,
All products,Customer Satisfaction,5,5.987138305,Logi Analytics,5.829055333,14,1,,,
All products,Customer Satisfaction,5,5.987138305,Looker,7.794724119,5,1,,,
All products,Customer Satisfaction,5,5.987138305,Microsoft Excel,3.059846603,22,1,,,
All products,Customer Satisfaction,5,5.987138305,Microsoft Power BI,5.247414784,15,1,,,
All products,Customer Satisfaction,5,5.987138305,MicroStrategy,6.000244425,13,1,,,
All products,Customer Satisfaction,5,5.987138305,Oracle Analytics Cloud,7.127116295,9,1,,,
All products,Customer Satisfaction,5,5.987138305,Phocas,9.372425027,1,1,,,
All products,Customer Satisfaction,5,5.987138305,Pyramid,7.380359103,7,1,,,
All products,Customer Satisfaction,5,5.987138305,Qlik Sense,5.237966378,16,1,,,
All products,Customer Satisfaction,5,5.987138305,QlikView,4.21958081,19,1,,,
All products,Customer Satisfaction,5,5.987138305,Report One,4.941947022,17,1,,,
All products,Customer Satisfaction,5,5.987138305,SAP Analytics Cloud,4.015076253,20,1,,,
All products,Customer Satisfaction,5,5.987138305,SAP BO BI,3.010254602,23,1,,,
All products,Customer Satisfaction,5,5.987138305,Serviceware Perf.,7.963076821,4,1,,,
All products,Customer Satisfaction,5,5.987138305,Tableau,3.712520098,21,1,,,
All products,Customer Satisfaction,5,5.987138305,TARGIT,7.221686724,8,1,,,
All products,Customer Satisfaction,5,5.987138305,Zoho Analytics,4.347346792,18,1,,,
All products,Price to Value,6,6.093754975,Bissantz,5.93447828,14,2,,,
All products,Price to Value,6,6.093754975,Domo,5.624615385,16,2,,,
All products,Price to Value,6,6.093754975,Dundas,8.246700046,3,2,,,
All products,Price to Value,6,6.093754975,Entrinsik,10,1,2,,,
All products,Price to Value,6,6.093754975,IBM Cog. Analytics,1,24,2,,,
All products,Price to Value,6,6.093754975,IBM Plan. Analytics,5.579881657,18,2,,,
All products,Price to Value,6,6.093754975,InfoZoom,7.40454687,8,2,,,
All products,Price to Value,6,6.093754975,Logi Analytics,6.51183432,12,2,,,
All products,Price to Value,6,6.093754975,Looker,5.846153846,15,2,,,
All products,Price to Value,6,6.093754975,Microsoft Excel,6.911242604,9,2,,,
All products,Price to Value,6,6.093754975,Microsoft Power BI,6.89972813,10,2,,,
All products,Price to Value,6,6.093754975,MicroStrategy,6.145336081,13,2,,,
All products,Price to Value,6,6.093754975,Oracle Analytics Cloud,7.592899408,7,2,,,
All products,Price to Value,6,6.093754975,Phocas,7.845243514,5,2,,,
All products,Price to Value,6,6.093754975,Pyramid,8.059686133,4,2,,,
All products,Price to Value,6,6.093754975,Qlik Sense,5.615197758,17,2,,,
All products,Price to Value,6,6.093754975,QlikView,5.521021489,19,2,,,
All products,Price to Value,6,6.093754975,Report One,4.875739645,20,2,,,
All products,Price to Value,6,6.093754975,SAP Analytics Cloud,2.953846154,21,2,,,
All products,Price to Value,6,6.093754975,SAP BO BI,2.775421029,22,2,,,
All products,Price to Value,6,6.093754975,Serviceware Perf.,7.816568047,6,2,,,
All products,Price to Value,6,6.093754975,Tableau,2.125443787,23,2,,,
All products,Price to Value,6,6.093754975,TARGIT,8.338461538,2,2,,,
All products,Price to Value,6,6.093754975,Zoho Analytics,6.626073678,11,2,,,
All products,Recommendation,7,5.48128804,Bissantz,6.125847627,10,2,,,
All products,Recommendation,7,5.48128804,Domo,4.399082569,17,2,,,
All products,Recommendation,7,5.48128804,Dundas,7.366339766,6,2,,,
All products,Recommendation,7,5.48128804,Entrinsik,9.127129751,2,2,,,
All products,Recommendation,7,5.48128804,IBM Cog. Analytics,1.751376147,23,2,,,
All products,Recommendation,7,5.48128804,IBM Plan. Analytics,7.440366972,5,2,,,
All products,Recommendation,7,5.48128804,InfoZoom,8.959021407,3,2,,,
All products,Recommendation,7,5.48128804,Logi Analytics,4.170832015,18,2,,,
All products,Recommendation,7,5.48128804,Looker,7.929357798,4,2,,,
All products,Recommendation,7,5.48128804,Microsoft Excel,1,24,2,,,
All products,Recommendation,7,5.48128804,Microsoft Power BI,4.604649838,16,2,,,
All products,Recommendation,7,5.48128804,MicroStrategy,5.402001668,15,2,,,
All products,Recommendation,7,5.48128804,Oracle Analytics Cloud,5.996836444,11,2,,,
All products,Recommendation,7,5.48128804,Phocas,10,1,2,,,
All products,Recommendation,7,5.48128804,Pyramid,7.366339766,7,2,,,
All products,Recommendation,7,5.48128804,Qlik Sense,5.956556935,12,2,,,
All products,Recommendation,7,5.48128804,QlikView,2.871559633,20,2,,,
All products,Recommendation,7,5.48128804,Report One,6.320804972,9,2,,,
All products,Recommendation,7,5.48128804,SAP Analytics Cloud,2.913124883,19,2,,,
All products,Recommendation,7,5.48128804,SAP BO BI,1.853211009,22,2,,,
All products,Recommendation,7,5.48128804,Serviceware Perf.,6.453337551,8,2,,,
All products,Recommendation,7,5.48128804,Tableau,2.126797207,21,2,,,
All products,Recommendation,7,5.48128804,TARGIT,5.651376147,14,2,,,
All products,Recommendation,7,5.48128804,Zoho Analytics,5.764962866,13,2,,,
All products,Vendor Support,8,5.885396224,Bissantz,8.405928237,7,2,,,
All products,Vendor Support,8,5.885396224,Domo,6.602288092,12,2,,,
All products,Vendor Support,8,5.885396224,Dundas,7.246445286,11,2,,,
All products,Vendor Support,8,5.885396224,Entrinsik,10,1,2,,,
All products,Vendor Support,8,5.885396224,IBM Cog. Analytics,1,24,2,,,
All products,Vendor Support,8,5.885396224,IBM Plan. Analytics,3.469947525,19,2,,,
All products,Vendor Support,8,5.885396224,InfoZoom,8.925696456,5,2,,,
All products,Vendor Support,8,5.885396224,Logi Analytics,7.614556996,9,2,,,
All products,Vendor Support,8,5.885396224,Looker,9.225562737,3,2,,,
All products,Vendor Support,8,5.885396224,Microsoft Excel,1.651606864,22,2,,,
All products,Vendor Support,8,5.885396224,Microsoft Power BI,3.967907288,15,2,,,
All products,Vendor Support,8,5.885396224,MicroStrategy,6.546112425,13,2,,,
All products,Vendor Support,8,5.885396224,Oracle Analytics Cloud,7.606284823,10,2,,,
All products,Vendor Support,8,5.885396224,Phocas,9.746383118,2,2,,,
All products,Vendor Support,8,5.885396224,Pyramid,8.8657232,6,2,,,
All products,Vendor Support,8,5.885396224,Qlik Sense,3.560588924,18,2,,,
All products,Vendor Support,8,5.885396224,QlikView,3.631586675,17,2,,,
All products,Vendor Support,8,5.885396224,Report One,2.948361934,21,2,,,
All products,Vendor Support,8,5.885396224,SAP Analytics Cloud,3.737371793,16,2,,,
All products,Vendor Support,8,5.885396224,SAP BO BI,1.582304435,23,2,,,
All products,Vendor Support,8,5.885396224,Serviceware Perf.,9.045642969,4,2,,,
All products,Vendor Support,8,5.885396224,Tableau,4.316904202,14,2,,,
All products,Vendor Support,8,5.885396224,TARGIT,8.345414681,8,2,,,
All products,Vendor Support,8,5.885396224,Zoho Analytics,3.206890716,20,2,,,
All products,Implementer Support,9,6.256214921,Bissantz,7.521595598,8,2,,,
All products,Implementer Support,9,6.256214921,Domo,7.01846087,9,2,,,
All products,Implementer Support,9,6.256214921,Dundas,6.884291609,10,2,,,
All products,Implementer Support,9,6.256214921,Entrinsik,8.932331332,3,2,,,
All products,Implementer Support,9,6.256214921,IBM Cog. Analytics,3.419532325,23,2,,,
All products,Implementer Support,9,6.256214921,IBM Plan. Analytics,8.390646492,6,2,,,
All products,Implementer Support,9,6.256214921,InfoZoom,8.245804677,7,2,,,
All products,Implementer Support,9,6.256214921,Logi Analytics,6.266299862,12,2,,,
All products,Implementer Support,9,6.256214921,Looker,8.543111562,5,2,,,
All products,Implementer Support,9,6.256214921,Microsoft Excel,3.924690509,22,2,,,
All products,Implementer Support,9,6.256214921,Microsoft Power BI,5.24661348,16,2,,,
All products,Implementer Support,9,6.256214921,MicroStrategy,5.693591994,14,2,,,
All products,Implementer Support,9,6.256214921,Oracle Analytics Cloud,8.917344004,4,2,,,
All products,Implementer Support,9,6.256214921,Phocas,9.095282353,2,2,,,
All products,Implementer Support,9,6.256214921,Pyramid,6.528394577,11,2,,,
All products,Implementer Support,9,6.256214921,Qlik Sense,4.528198074,20,2,,,
All products,Implementer Support,9,6.256214921,QlikView,4.545754658,19,2,,,
All products,Implementer Support,9,6.256214921,Report One,4.666142661,17,2,,,
All products,Implementer Support,9,6.256214921,SAP Analytics Cloud,5.367860774,15,2,,,
All products,Implementer Support,9,6.256214921,SAP BO BI,4.652793185,18,2,,,
All products,Implementer Support,9,6.256214921,Serviceware Perf.,10,1,2,,,
All products,Implementer Support,9,6.256214921,Tableau,4.528198074,20,2,,,
All products,Implementer Support,9,6.256214921,TARGIT,6.232219435,13,2,,,
All products,Implementer Support,9,6.256214921,Zoho Analytics,1,24,2,,,
All products,Product Satisfaction,10,6.337424192,Bissantz,6.320974073,12,2,,,
All products,Product Satisfaction,10,6.337424192,Domo,7.189764232,7,2,,,
All products,Product Satisfaction,10,6.337424192,Dundas,8.741845294,5,2,,,
All products,Product Satisfaction,10,6.337424192,Entrinsik,8.890988253,3,2,,,
All products,Product Satisfaction,10,6.337424192,IBM Cog. Analytics,1,24,2,,,
All products,Product Satisfaction,10,6.337424192,IBM Plan. Analytics,8.493542421,6,2,,,
All products,Product Satisfaction,10,6.337424192,InfoZoom,9.813686026,2,2,,,
All products,Product Satisfaction,10,6.337424192,Logi Analytics,5.192242866,19,2,,,
All products,Product Satisfaction,10,6.337424192,Looker,6.987924094,8,2,,,
